,Link,Name,Description,Price,Sale_Price
42,https://www.nike.com/in/t/dunk-high-retro-se-shoes-tXRLdK/DD3359-001,Nike Dunk High Retro SE,Men's Shoes,"10,295","8,237"
43,https://www.nike.com/in/t/glide-flyease-shoe-71zmgZ/DN4919-001,Nike Glide FlyEase,Shoe,"10,295","8,237"
44,https://www.nike.com/in/t/jordan-one-take-3-pf-basketball-shoe-pKG2Lv/DC7700-002,Jordan One Take 3 PF,Basketball Shoe,"8,295","6,637"
45,https://www.nike.com/in/t/pegasus-trail-3-gore-tex-waterproof-trail-running-shoes-ZKmC2v/DC8793-800,Nike Pegasus Trail 3 GORE-TEX,Men's Waterproof Trail Running Shoes,"14,495","11,597"
46,https://www.nike.com/in/t/air-max-pre-day-shoes-jMh2rB/DC9402-800,Nike Air Max Pre-Day,Men's Shoes,"11,495","9,197"
47,https://www.nike.com/in/t/strike-football-nHHCsP/DC2376-105,Nike Strike,Football,"1,995","1,597"
48,https://www.nike.com/in/t/air-zoom-tempo-next-flyease-easy-on-off-road-running-shoes-40pJSQ/CV1889-700,Nike Air Zoom Tempo NEXT% FlyEase,Men's Easy On/Off Road Running Shoes,"17,595","14,077"
49,https://www.nike.com/in/t/blazer-mid-77-essential-shoes-nVTzf8/DH4399-101,Nike Blazer Mid '77 Essential,Women's Shoes,"8,895","7,117"
50,https://www.nike.com/in/t/liverpool-fc-2021-22-stadium-home-older-football-shirt-5DtPb9/DB2568-688,Liverpool F.C. 2021/22 Stadium Home,Older Kids' Football Shirt,"3,995","3,197"
51,https://www.nike.com/in/t/air-force-1-pixel-shoes-7wnvvn/DQ5570-300,Nike Air Force 1 Pixel,Women's Shoes,"8,295","6,637"
52,https://www.nike.com/in/t/jordan-series-shoes-FX0cpT/DN1857-610,Jordan Series,Women's Shoes,"7,495","5,997"
53,https://www.nike.com/in/t/aqua-rift-shoes-D1KxM9/DM6436-010,Nike Aqua Rift,Women's Shoes,"9,995","7,997"
54,https://www.nike.com/in/t/air-vapormax-2021-flyknit-shoes-dzhmRL/DH4090-002,Nike Air VaporMax 2021 Flyknit,Women's Shoes,"18,695","14,957"
55,https://www.nike.com/in/t/nikecourt-vapor-lite-hard-court-tennis-shoe-X6tkPn/DC3431-161,NikeCourt Vapor Lite,Women's Hard Court Tennis Shoe,"6,795","5,437"
56,https://www.nike.com/in/t/sportswear-heritage86-cap-cc54mX/943092-327,Nike Sportswear Heritage 86,Cap,895,717
57,https://www.nike.com/in/t/air-force-1-gtx-shoes-60rsTr/DO2760-220,Nike Air Force 1 GTX,Men's Shoes,"14,495","11,597"
58,https://www.nike.com/in/t/free-metcon-4-training-shoes-k5B8Jf/CZ0596-049,Nike Free Metcon 4,Women's Training Shoes,"10,295","8,237"
59,https://www.nike.com/in/t/air-max-90-ltr-se-older-shoes-Hq4xVv/DN4376-001,Nike Air Max 90 LTR SE,Older Kids' Shoes,"7,995","6,397"
60,https://www.nike.com/in/t/air-zoom-pegasus-38-ekiden-road-running-shoes-0z837x/DO2423-739,Nike Air Zoom Pegasus 38 Ekiden,Road Running Shoes,"11,495","9,197"
61,https://www.nike.com/in/t/daybreak-shoes-bs1J78/CK2351-001,Nike Daybreak,Women's Shoes,"7,995","6,397"
62,https://www.nike.com/in/t/air-huarache-liverpool-fc-shoes-jJ5CL3/DN5080-100,Nike Air Huarache Premium Liverpool F.C.,Shoes,"11,495","9,197"
63,https://www.nike.com/in/t/jordan-delta-2-se-shoes-B1p88z/DJ9843-106,Jordan Delta 2 SE,Shoes,"12,495","9,997"
64,https://www.nike.com/in/t/air-force-1-mid-07-shoes-48Cpj5/DQ8645-045,Nike Air Force 1 Mid '07 Premium,Men's Shoes,"12,995","10,397"
65,https://www.nike.com/in/t/air-max-97-se-shoes-FvBZ0j/DH1085-001,Nike Air Max 97 SE,Men's Shoes,"16,595","13,277"
66,https://www.nike.com/in/t/academy-over-calf-football-socks-3LZwVZ/SX4120-401,Nike Academy,Over-The-Calf Football Socks,595,447
67,https://www.nike.com/in/t/lebron-19-basketball-shoe-5dpw6F/DC9338-400,LeBron 19,Basketball Shoe,"17,595","14,077"
68,https://www.nike.com/in/t/los-angeles-lakers-diamond-icon-edition-dri-fit-nba-swingman-jersey-2mWP2V/DB3576-731,Los Angeles Lakers Diamond Icon Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197"
