,Link,Title,Company Name,Location,Date,Salary
232,https://in.indeed.com//rc/clk?jk=f6e05f1ad24583dc&fccid=c92aa478d89f2b69&vjs=3,"Business Intelligence Manager, Operations",Flyhomes India,"Noida, Uttar Pradesh",Posted18 days ago,N/A
233,https://in.indeed.com//rc/clk?jk=e84e5a395cf8d862&fccid=f89deb5a97c7738a&vjs=3,Business Intelligence Specialist,Adobe,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
234,https://in.indeed.com//rc/clk?jk=cc00431d3fae4b01&fccid=afe30394bfba1470&vjs=3,DG-Business Analyst - AML/KYC,Genpact,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
235,https://in.indeed.com//rc/clk?jk=23fa7cbd605fcd80&fccid=732d52ae4be9729e&vjs=3,Business Analyst,Knowcross,"New Delhi, Delhi",EmployerActive 6 days ago,N/A
236,https://in.indeed.com//rc/clk?jk=b1d5d38dbb7432e8&fccid=a311d3f78a9495c2&vjs=3,Senior Data Analyst- (SQL) Cyber Security,BlackBerry,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
237,https://in.indeed.com//rc/clk?jk=b40c0f7a20579e5a&fccid=0a24fad8d001a72f&vjs=3,PPC Analyst (Google ads + Facebook expert),Wildnet Technologies,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
238,https://in.indeed.com//rc/clk?jk=2913e6c2949b0a44&fccid=407208a60bfc4c49&vjs=3,Third Party Risk Analyst,TMF Group,"Noida, Uttar Pradesh",Posted28 days ago,N/A
239,https://in.indeed.com//rc/clk?jk=2c16deac4d94661a&fccid=990782d378c3e8b6&vjs=3,Lead Business Systems Analyst,Ameriprise Financial,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
240,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1Tds0XE-AWRCee3Hrfxz-ITHByRiJznCkVj4y72847kbvKt0ICqQUtAoOI5RQ3vYGgkOLccmtnDSMlEroWEevZQyPwtdkX9QA8p7JbrIS4JNOSop1SZ9DaMrE5UmmjCZWg5uTbjcNEE7TPlXTKnspc8olbJs_wDmdvLCY8hogGc9AnaAELPaVX2QS-asbtwZpV5gSN6TFGfPfvEJ0MrxoNzMkFP7yqgicirKor-j5NMoC3ShVv1HX_Ee_TPOQAD-0ymvoCoewJFgSsgPBoeV4iffZLKiNS1w7v5X1W_Jj3vs3eCFKRqKRXCYT8ncik2YRv_lUU9qeUQeHA9S1P0rN-gpnLaTpFKtkXULv-LlJcgEO1sDlaH295RReSZ1ZP3-Gd4nHYfODSNYSahno_9aMEqSIUobvQQe_scXezYJU9B1iurngY0h3YB0=&p=14&fvj=0&vjs=3,newIT HR Senior Business Analyst,Boston Consulting Group,"New Delhi, Delhi",Posted8 days ago,N/A
241,https://in.indeed.com//rc/clk?jk=8be1ff5f4c1b2634&fccid=a4e4e2eaf26690c9&vjs=3,Analyst-Supply Chain Analytics,Accenture,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
242,https://in.indeed.com//rc/clk?jk=b40c0f7a20579e5a&fccid=0a24fad8d001a72f&vjs=3,PPC Analyst (Google ads + Facebook expert),Wildnet Technologies,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
243,https://in.indeed.com//rc/clk?jk=0e03817b87d67a7a&fccid=49edf7ec660670a1&vjs=3,Inventory Quality Analyst,PubMatic,"Temporarily Remote in New Delhi, Delhi",Posted21 days ago,N/A
